time,voltage
3.03791595,0.08606219
3.03855595,0.08606219
3.03919595,0.08606219
3.03983595,0.08606219
3.04047595,0.08606219
3.04111595,-0.00183111
3.04175595,0.08606219
3.04239595,0.08606219
3.04303595,-0.00183111
3.04367595,0.08606219
3.04431595,0.08606219
3.04495595,0.08606219
3.04559595,-0.00183111
3.04623595,-0.00183111
3.04687595,0.08606219
3.04751595,0.08606219
3.04815595,0.08606219
3.04879595,0.08606219
3.04943595,0.08606219
3.05007595,0.08606219
3.05071595,0.08606219
3.05135595,-0.00183111
3.05199595,0.08606219
3.05263595,0.08606219
3.05327595,0.08606219
3.05391595,-0.00183111
3.05455595,0.08606219
3.05519595,0.08606219
3.05583595,0.08606219
3.05647595,0.08606219
3.05711595,-0.00183111
3.05775595,-0.00183111
3.05839595,0.08606219
3.05903595,0.08606219
3.05967595,0.08606219
3.06031595,0.08606219
3.06095595,-0.00183111
3.06159595,0.08606219
3.06223595,-0.00183111
3.06287595,-0.00183111
3.06351595,-0.00183111
3.06415595,0.08606219
3.06479595,0.08606219
3.06543595,0.08606219
3.06607595,0.08606219
3.06671595,0.08606219
3.06735595,-0.00183111
3.06799595,0.08606219
3.06863595,0.08606219
3.06927595,-0.00183111
3.06991595,-0.00183111
3.07055595,0.08606219
3.07119595,0.08606219
3.07183595,0.08606219
3.07247595,-0.00183111
3.07311595,-0.00183111
3.07375595,0.08606219
3.07439595,0.08606219
3.07503595,-0.00183111
3.07567595,0.08606219
3.07631595,0.08606219
3.07695595,0.08606219
3.07759595,0.08606219
3.07823595,0.08606219
3.07887595,0.08606219
3.07951595,0.08606219
3.08015595,0.08606219
3.08079595,-0.00183111
3.08143595,0.08606219
3.08207595,0.08606219
3.08271595,0.08606219
3.08335595,0.08606219
3.08399595,0.08606219
3.08463595,0.08606219
3.08527595,0.08606219
3.08591595,0.08606219
3.08655595,0.08606219
3.08719595,0.08606219
3.08783595,0.08606219
3.08847595,0.08606219
3.08911595,0.08606219
3.08975595,0.08606219
3.09039595,0.08606219
3.09103595,0.08606219
3.09167595,0.08606219
3.09231595,0.08606219
3.09295595,0.08606219
3.09359595,0.08606219
3.09423595,-0.00183111
3.09487595,0.08606219
3.09551595,-0.00183111
3.09615595,-0.00183111
3.09679595,0.08606219
3.09743595,0.08606219
3.09807595,-0.00183111
3.09871595,0.08606219
3.09935595,0.08606219
3.09999595,0.08606219
3.10063595,0.08606219
3.10127595,0.08606219
3.10191595,0.08606219
3.10255595,0.08606219
3.10319595,0.08606219
3.10383595,0.08606219
3.10447595,0.08606219
3.10511595,0.08606219
3.10575595,-0.00183111
3.10639595,0.08606219
3.10703595,0.08606219
3.10767595,0.08606219
3.10831595,0.08606219
3.10895595,0.08606219
3.10959595,0.08606219
3.11023595,0.08606219
3.11087595,0.08606219
3.11151595,0.08606219
3.11215595,0.08606219
3.11279595,0.08606219
3.11343595,0.08606219
3.11407595,0.08606219
3.11471595,0.08606219
3.11535595,0.08606219
3.11599595,-0.00183111
3.11663595,-0.00183111
3.11727595,0.08606219
3.11791595,0.08606219
3.11855595,0.08606219
3.11919595,0.08606219
3.11983595,0.08606219
3.12047595,-0.00183111
3.12111595,0.08606219
3.12175595,0.08606219
3.12239595,-0.00183111
3.12303595,0.08606219
3.12367595,-0.00183111
3.12431595,0.08606219
3.12495594,0.08606219
3.12559594,0.08606219
3.12623594,-0.00183111
3.12687594,0.08606219
3.12751594,0.08606219
3.12815594,0.08606219
3.12879594,0.08606219
3.12943594,0.08606219
3.13007594,-0.00183111
3.13071594,0.08606219
3.13135594,0.08606219
3.13199594,0.08606219
3.13263594,0.08606219
3.13327594,-0.00183111
3.13391594,0.08606219
3.13455594,-0.00183111
3.13519594,-0.00183111
3.13583594,0.08606219
3.13647594,0.08606219
3.13711594,0.08606219
3.13775594,0.08606219
3.13839594,0.08606219
3.13903594,-0.00183111
3.13967594,0.08606219
3.14031594,-0.00183111
3.14095594,-0.00183111
3.14159594,-0.00183111
3.14223594,0.08606219
3.14287594,-0.00183111
3.14351594,0.08606219
3.14415594,0.08606219
3.14479594,-0.00183111
3.14543594,0.08606219
3.14607594,0.08606219
3.14671594,0.08606219
3.14735594,0.08606219
3.14799594,-0.00183111
3.14863594,-0.00183111
3.14927594,0.08606219
3.14991594,0.08606219
3.15055594,0.08606219
3.15119594,0.08606219
3.15183594,0.08606219
3.15247594,0.08606219
3.15311594,-0.00183111
3.15375594,0.08606219
3.15439594,-0.00183111
3.15503594,-0.00183111
3.15567594,0.08606219
3.15631594,0.08606219
3.15695594,-0.00183111
3.15759594,0.08606219
3.15823594,-0.00183111
3.15887594,0.08606219
3.15951594,0.08606219
3.16015594,0.08606219
3.16079594,0.08606219
3.16143594,-0.00183111
3.16207594,-0.00183111
3.16271594,-0.00183111
3.16335594,-0.00183111
3.16399594,0.08606219
3.16463594,0.08606219
3.16527594,0.08606219
3.16591594,0.08606219
3.16655594,-0.00183111
3.16719594,0.08606219
3.16783594,0.08606219
3.16847594,0.08606219
3.16911594,-0.00183111
3.16975594,0.08606219
3.17039594,0.08606219
3.17103594,0.08606219
3.17167594,0.08606219
3.17231594,0.08606219
3.17295594,0.08606219
3.17359594,0.08606219
3.17423594,-0.00183111
3.17487594,-0.00183111
3.17551594,0.08606219
3.17615594,0.08606219
3.17679594,0.08606219
3.17743594,0.08606219
3.17807594,-0.00183111
3.17871594,-0.00183111
3.17935594,0.08606219
3.17999594,0.08606219
3.18063594,0.08606219
3.18127594,0.08606219
3.18191594,0.08606219
3.18255594,-0.00183111
3.18319594,0.08606219
3.18383594,0.08606219
3.18447594,0.08606219
3.18511594,0.08606219
3.18575594,0.08606219
3.18639594,0.08606219
3.18703594,0.08606219
3.18767594,-0.00183111
3.18831594,0.08606219
3.18895594,0.08606219
3.18959594,0.08606219
3.19023594,-0.00183111
3.19087594,0.08606219
3.19151594,0.08606219
3.19215594,0.08606219
3.19279594,0.08606219
3.19343594,0.08606219
3.19407594,0.08606219
3.19471594,0.08606219
3.19535594,0.08606219
3.19599594,-0.00183111
3.19663594,0.08606219
3.19727594,0.08606219
3.19791594,0.08606219
3.19855594,0.08606219
3.19919594,0.08606219
3.19983594,0.08606219
3.20047594,0.08606219
3.20111594,0.08606219
3.20175594,0.08606219
3.20239594,-0.00183111
3.20303594,-0.00183111
3.20367594,-0.00183111
3.20431594,0.08606219
3.20495594,0.08606219
3.20559594,0.08606219
3.20623594,0.08606219
3.20687594,-0.00183111
3.20751594,-0.00183111
3.20815594,0.08606219
3.20879594,0.08606219
3.20943594,0.08606219
3.21007594,0.08606219
3.21071594,0.08606219
3.21135594,0.08606219
3.21199594,0.08606219
3.21263594,-0.00183111
3.21327594,-0.00183111
3.21391594,-0.00183111
3.21455594,0.08606219
3.21519594,0.08606219
3.21583594,-0.00183111
3.21647594,0.08606219
3.21711594,0.08606219
3.21775594,-0.00183111
3.21839594,0.08606219
3.21903594,0.08606219
3.21967594,0.08606219
3.22031594,0.08606219
3.22095594,0.08606219
3.22159594,0.08606219
3.22223594,0.08606219
3.22287594,0.08606219
3.22351594,0.08606219
3.22415594,-0.00183111
3.22479594,0.08606219
3.22543594,0.08606219
3.22607594,0.08606219
3.22671594,0.08606219
3.22735594,0.08606219
3.22799594,0.08606219
3.22863594,0.08606219
3.22927594,0.08606219
3.22991594,0.08606219
3.23055594,0.08606219
3.23119594,0.08606219
3.23183594,0.08606219
